N_Name,Class,Direction,Time
N_7524,car,route_9,496.86412010000004
N_7569,car,route_9,499.8369834
N_7582,car,route_9,500.2831221
N_7628,car,route_10,502.87296690000005
N_7632,car,route_10,503.02112000000005
N_7639,car,route_10,503.31593150000003
N_7634,car,route_9,505.3162975
N_7678,car,route_9,506.133802
N_7669,truck,route_11,509.0274704
N_7733,car,route_9,510.5149055
N_7761,car,route_9,512.374138
N_7769,car,route_9,512.670666
N_7777,car,route_9,513.0468328
N_7802,car,route_10,514.0843118
N_7804,car,route_10,514.3074528999999
N_7810,car,route_10,514.7542839
N_7814,car,route_10,515.0494464999999
N_7824,car,route_10,516.2393469
N_7863,car,route_10,517.8790722
N_7875,car,route_10,518.8465395999999
N_7960,car,route_11,527.301564
N_7966,car,route_11,527.5258083
N_7983,car,route_11,529.2374785999999
N_8060,car,route_10,534.7916303
N_8065,car,route_10,535.0143709
N_8068,car,route_10,535.1619552
N_8074,car,route_10,535.6065345
N_8077,car,route_10,535.9037797999999
N_8088,car,route_10,536.6452469999999
N_8109,car,route_10,537.8295061
N_8113,car,route_10,538.0508725999999
N_8134,car,route_11,540.1253971
N_8182,car,route_9,544.2020411999999
N_8186,car,route_9,544.4982477
N_8189,car,route_9,544.6444751
N_8191,car,route_9,544.8662204
N_8225,car,route_11,547.0939642999999
N_8230,car,route_11,547.6879723999999
N_8232,car,route_11,547.9837137999999
N_8296,car,route_10,551.7622094
N_8304,car,route_10,552.799183
N_8306,car,route_11,553.0229567
N_8446,car,route_11,564.7419731
N_8556,car,route_10,582.0560555999999
N_8599,car,route_10,588.8676939
N_8618,car,route_10,591.7579850999999
N_8661,truck,route_10,597.7333536
N_8664,truck,route_10,597.9599412
N_8665,car,route_10,598.036346
N_8668,truck,route_10,598.1116198999999
N_8688,car,route_10,599.1053935
N_8692,car,route_10,599.4865969
N_8697,car,route_10,600.0940584
N_8698,car,route_10,600.2456645
N_8700,car,route_10,600.5504073999999
N_8771,car,route_10,609.6601049
N_8711,bus,route_11,611.8120025
N_8799,car,route_10,611.8866931
N_8893,car,route_10,620.9223301999999
N_8897,car,route_10,621.1458822
N_8999,car,route_11,630.6435246
N_9090,car,route_10,642.7477883
N_9158,car,route_10,645.7932846
N_9175,car,route_10,646.4614394
N_9190,car,route_10,647.5024367
N_9202,car,route_10,648.3140479
N_9231,car,route_10,650.3885348
N_9243,car,route_10,651.2774826
N_9259,car,route_10,652.0965699
N_9268,car,route_10,652.6886339
N_9280,car,route_10,653.8790230999999
N_9303,car,route_10,655.1390252
N_9319,car,route_10,655.8800825
N_9323,car,route_10,656.0271336999999
N_9324,car,route_10,656.0271485
N_9331,car,route_10,656.3260007
N_9333,car,route_10,656.3260154
N_9348,car,route_10,656.988246
N_9557,car,route_9,661.9211692
N_9720,car,route_9,666.2521651999999
N_9760,truck,route_10,666.6238224
N_9697,truck,route_10,666.6238582999999
N_9769,motorcycle,route_11,666.7724492
N_9779,motorcycle,route_11,666.9982643
N_9244,truck,route_10,667.2210881999999
N_9788,car,route_9,667.2211727
N_9791,truck,route_10,667.3706672999999
