N_Name,Class,Direction,Time
N_14761,motorcycle,route_9,1437.1986053
N_14766,car,route_10,1437.5689961
N_14777,car,route_10,1438.592481
N_14794,car,route_10,1440.34599
N_14799,car,route_10,1440.7838797
N_14784,motorcycle,route_9,1441.5904296
N_14865,motorcycle,route_9,1445.9085677
N_14867,motorcycle,route_9,1446.0546797
N_14974,car,route_10,1450.8187833
N_14981,truck,route_10,1451.1120027
N_15049,motorcycle,route_9,1453.7466441
N_15057,car,route_10,1454.9946443000001
N_15122,car,route_10,1456.9719877
N_14946,car,route_9,1459.3092741
N_15200,car,route_9,1461.428252
N_15212,motorcycle,route_9,1461.7905611
N_15213,motorcycle,route_9,1461.8635596
N_15220,motorcycle,route_9,1462.3062708
N_15201,motorcycle,route_9,1463.2561134
N_15236,motorcycle,route_9,1463.328226
N_14985,car,route_10,1464.134864
N_15255,motorcycle,route_10,1464.5705129
N_15269,motorcycle,route_9,1465.0053382
N_15348,car,route_10,1468.5245142
N_15341,motorcycle,route_9,1468.6690078
N_15344,motorcycle,route_9,1468.7416329
N_15355,motorcycle,route_9,1468.8873151
N_15289,truck,route_10,1469.6160162
N_15383,car,route_10,1471.1474733
N_15307,car,route_9,1473.1209943000001
N_15407,car,route_9,1473.3380523
N_15415,motorcycle,route_9,1474.5038502
N_15501,car,route_10,1478.2899807000001
N_15511,motorcycle,route_9,1479.088664
N_15513,motorcycle,route_9,1479.1628181
N_15523,motorcycle,route_10,1480.6143242
N_15565,motorcycle,route_10,1482.4396935
N_15575,motorcycle,route_9,1483.5305472
N_15473,car,route_10,1483.6746534000001
N_15599,motorcycle,route_9,1487.0348802
N_15615,motorcycle,route_9,1487.3997505
N_15628,motorcycle,route_9,1488.5628126
N_15663,motorcycle,route_9,1490.6956775
N_15489,car,route_10,1491.1329548
N_15658,motorcycle,route_11,1491.866167
N_15685,motorcycle,route_11,1492.012213
N_15689,motorcycle,route_9,1492.3806588
N_15690,motorcycle,route_11,1492.3806723
N_15692,motorcycle,route_11,1492.6717718
N_15698,car,route_10,1492.889952
N_15711,car,route_10,1493.7645586
N_15584,car,route_10,1494.9308165
N_15729,motorcycle,route_9,1495.8109849
N_15748,car,route_10,1497.12444
N_15752,car,route_10,1497.3436594
N_15757,car,route_10,1497.7081799
N_15780,motorcycle,route_9,1499.0256897
N_15785,motorcycle,route_9,1501.3630068
N_15820,motorcycle,route_9,1501.4364841
N_15840,motorcycle,route_9,1503.2674391
N_15856,motorcycle,route_9,1503.7764511
N_15872,motorcycle,route_9,1505.0957236
N_15854,motorcycle,route_10,1505.2419921
N_15876,motorcycle,route_9,1505.3862857
N_15881,motorcycle,route_9,1505.9059075
N_15906,motorcycle,route_9,1507.8097751
N_15919,motorcycle,route_9,1510.1440484
N_16042,motorcycle,route_9,1521.2677608
N_16028,motorcycle,route_9,1523.1012388
N_16058,motorcycle,route_9,1523.6814185
N_16060,motorcycle,route_9,1523.9001845
N_16090,car,route_10,1528.7188907
N_16101,car,route_10,1530.0385505
N_16104,car,route_10,1530.1850303
N_16093,motorcycle,route_10,1530.3340616
N_16096,motorcycle,route_9,1532.6772948
N_16210,car,route_10,1539.7556163
N_16127,car,route_10,1540.0490189
N_16217,car,route_10,1540.124172
N_16237,motorcycle,route_9,1542.6044036
N_16242,motorcycle,route_9,1543.0468448
N_16266,motorcycle,route_9,1546.5573094000001
N_16275,motorcycle,route_9,1546.7030578000001
N_16278,motorcycle,route_9,1546.9221655000001
N_16317,car,route_10,1552.1186972
N_16319,car,route_10,1552.2658229
N_16323,car,route_10,1552.4865631
N_16340,car,route_10,1554.6720744
N_16342,car,route_10,1554.8204654
N_16355,car,route_10,1555.9214881
N_16356,car,route_10,1556.0676976
N_16381,car,route_10,1557.8956162
N_16379,motorcycle,route_9,1558.5533715
N_16375,motorcycle,route_10,1559.2101563
