Name,Class,Direction,Time
E_136053,car,route_8,12354.0220231
W_183265,car,route_1,12354.1230162
E_136056,car,route_8,12354.1665272
W_183267,car,route_0,12354.2041713
W_183275,car,route_1,12354.5220921
E_136060,car,route_8,12354.6080344
W_183292,car,route_0,12354.9226025
W_183301,car,route_0,12355.1638615
W_183314,car,route_0,12355.4020922
E_136074,car,route_8,12355.4068859
S_142920,car,route_4,12355.473073
W_183318,car,route_1,12355.5627463
S_142925,car,route_5,12355.6937696
E_136083,car,route_8,12355.9859738
W_183309,car,route_0,12356.2042352
S_142943,car,route_4,12356.8788112
E_136103,car,route_8,12357.2281037
E_136106,car,route_8,12357.4465588
S_142953,car,route_4,12357.5425002
W_183221,car,route_1,12358.0541089
W_183397,car,route_0,12358.1341816
W_183411,car,route_0,12358.2980478
W_183416,car,route_0,12358.5382303
W_183424,car,route_0,12358.7854545
S_142983,car,route_5,12359.1584344
W_183450,car,route_0,12359.4327008
W_183461,car,route_0,12359.7573597
E_136138,car,route_7,12359.7711512
W_183472,car,route_1,12360.0013132
S_142996,car,route_5,12360.0393277
E_136156,car,route_8,12360.569781
S_143006,car,route_4,12360.7059482
E_136161,car,route_7,12360.7870288
S_143010,car,route_4,12361.1473809
S_143015,car,route_4,12361.3674586
S_143019,car,route_4,12361.587283
E_136166,bus,route_7,12362.0280472
S_143026,car,route_4,12362.3236938
E_136181,bus,route_7,12362.462673
W_183539,car,route_0,12362.735734
S_143030,car,route_4,12362.9116577
W_183551,car,route_0,12363.1384883
S_143036,car,route_4,12363.2800317
W_183513,car,route_2,12363.3803811
S_143039,car,route_4,12363.4265878
E_136204,bus,route_7,12363.8512403
E_133145,car,route_8,12363.9241484
W_183580,truck,route_0,12364.104064
W_183585,truck,route_0,12364.3434138
S_143051,car,route_4,12364.5321887
S_143059,car,route_4,12364.9002932
S_143067,car,route_4,12365.491106
S_143057,car,route_4,12365.7119903
S_143072,car,route_4,12365.7120718
W_183664,car,route_1,12366.3608485
W_183667,car,route_1,12366.4407048
S_143081,car,route_4,12366.8976273
W_183685,car,route_0,12366.9212961
W_183700,car,route_0,12367.5598008
W_183795,motorcycle,route_0,12369.9853237
W_183814,car,route_2,12370.5490413
E_136309,car,route_8,12371.2667204
W_183881,car,route_0,12371.5912597
W_183888,car,route_0,12371.7513535
E_136344,car,route_8,12371.8502958
W_183896,car,route_0,12372.077579
W_183897,car,route_0,12372.0776656
W_183902,car,route_0,12372.2393725
E_136315,truck,route_6,12372.5034696
S_143154,car,route_4,12374.1286488
S_143158,car,route_4,12374.2766183
W_183992,car,route_0,12375.366682
S_143161,car,route_4,12375.4037063
W_184011,car,route_0,12376.0993924
S_143171,car,route_4,12376.1470271
S_143178,car,route_4,12376.5176423
W_183716,car,route_1,12376.5779299
S_143180,car,route_4,12376.7405977
E_136374,truck,route_8,12376.943421
S_143182,car,route_4,12376.9654224
S_143186,car,route_4,12377.1124244
S_143192,car,route_4,12377.3363925
W_184072,car,route_0,12378.3527965
W_184074,car,route_0,12378.5155687
E_136476,motorcycle,route_6,12378.9757307
W_184086,car,route_1,12378.9989441
W_184092,car,route_0,12379.1624576
W_184097,car,route_0,12379.324185
S_143225,car,route_4,12379.3331507
W_184108,car,route_2,12379.6513252
W_184124,car,route_2,12380.2186197
W_184126,car,route_1,12380.2990416
W_184133,car,route_2,12380.6215051
E_136467,car,route_7,12380.7204007
S_143272,car,route_4,12381.0448531
E_136481,car,route_8,12381.7413969
E_136501,car,route_6,12381.8154406
W_184160,motorcycle,route_1,12381.990894
W_184166,motorcycle,route_1,12382.3191312
W_184171,car,route_1,12382.4776428
E_136534,motorcycle,route_7,12382.8385126
E_136563,car,route_6,12384.2209286
S_143357,car,route_4,12384.6847205
W_184257,car,route_2,12385.8651283
S_143382,car,route_4,12386.0219891
W_183853,car,route_0,12386.1889099
W_184264,car,route_2,12386.1890054
W_184265,car,route_2,12386.34817
E_136599,car,route_8,12386.4750078
E_136557,truck,route_6,12386.7676304
W_184276,car,route_2,12386.8362605
W_184244,car,route_1,12387.1573302
S_143436,car,route_4,12387.511193
W_184296,car,route_2,12387.8824783
S_143465,car,route_3,12388.1094417
S_143487,car,route_4,12389.0068514
E_136677,car,route_7,12389.2346512
S_143511,car,route_4,12389.6782465
W_184353,car,route_0,12390.2219463
E_136728,motorcycle,route_7,12390.2512189
S_143474,car,route_3,12390.4276298
S_143551,car,route_3,12390.4278
W_184372,car,route_0,12391.2698325
E_136746,truck,route_8,12391.8503252
E_136773,truck,route_8,12391.994423
E_136779,truck,route_8,12392.2123896
W_184391,car,route_0,12392.2421726
S_143612,car,route_3,12392.3021749
S_143624,car,route_3,12392.9031337
W_184413,car,route_0,12393.3650129
N_227855,car,route_10,12393.5235838
N_227884,car,route_9,12393.8416433
N_227915,car,route_10,12394.7105295
W_184449,car,route_1,12395.5329727
S_143749,car,route_4,12395.8206862
S_143756,car,route_4,12395.9760077
W_184454,car,route_2,12396.0226198
S_143760,car,route_4,12396.124873
E_136922,car,route_6,12396.1461167
S_143765,car,route_4,12396.1996439
W_184464,car,route_1,12396.2688698
W_184469,car,route_2,12396.5086223
N_227927,car,route_9,12396.6145341
W_184477,car,route_1,12396.8309697
N_228003,car,route_9,12396.929971
S_143805,car,route_4,12397.1767856
S_143809,car,route_5,12397.3285239
N_228016,car,route_9,12397.4085348
N_228028,car,route_10,12397.4086181
W_184491,car,route_1,12397.5552372
N_228031,car,route_10,12397.5655953
N_228039,car,route_10,12397.6478602
S_143703,car,route_3,12397.9308436
W_184500,car,route_1,12397.9563584
E_136987,car,route_8,12397.9656993
N_228054,truck,route_10,12398.0395693
S_143840,car,route_4,12398.1584262
S_143842,car,route_3,12398.3066386
S_143844,car,route_4,12398.3067156
N_228071,car,route_10,12398.441174
S_143848,car,route_3,12398.4616563
S_143849,car,route_4,12398.4617488
S_143861,car,route_3,12398.8389087
W_184520,car,route_0,12399.16498
E_136953,car,route_6,12399.569334
E_136954,car,route_7,12399.6423547
S_143841,car,route_3,12399.9643231
E_137033,car,route_6,12400.445531
N_228187,car,route_9,12401.1346814
N_228081,car,route_9,12401.2949349
W_184379,car,route_1,12401.3343465
S_143955,car,route_3,12401.6951533
N_228059,car,route_10,12402.1825603
E_137031,car,route_6,12402.7764488
N_228248,car,route_9,12402.8224477
S_143996,car,route_3,12402.8309492
S_144001,car,route_3,12402.9065392
N_228257,car,route_10,12403.0636839
S_144012,car,route_3,12403.1334493
N_228259,car,route_10,12403.3025464
S_144021,car,route_4,12403.3596974
S_143876,car,route_5,12403.5089937
S_144026,car,route_3,12403.5091501
N_228277,car,route_10,12403.6197332
