N_Name,Class,Direction,Time
N_6113,car,route_9,272.7200026
N_6188,truck,route_9,275.8699918
N_6201,car,route_9,275.94596909999996
N_6110,car,route_9,276.257212
N_6230,car,route_9,280.0211731
N_6262,car,route_9,280.8701523
N_6263,car,route_9,281.0261973
N_6267,car,route_9,281.9433153
N_6281,car,route_9,284.7073537
N_6393,car,route_10,291.06490929999995
N_6328,car,route_9,294.9768903
N_6445,car,route_9,295.2075961
N_6466,car,route_10,296.9641886
N_6461,car,route_9,297.0399536
N_6504,car,route_9,300.7217429
N_6521,car,route_10,302.0285767
N_6526,car,route_10,302.3372951
N_6820,car,route_9,331.81606259999995
N_7206,truck,route_11,363.9540872
N_7542,car,route_11,407.8095126
N_7543,car,route_11,407.9606664
N_7549,car,route_11,408.26696139999996
N_7891,car,route_9,456.4936409
N_7899,car,route_9,457.1874736
N_7969,car,route_11,464.47298939999996
N_7978,car,route_11,465.39819889999995
N_7982,car,route_11,465.7827468
N_8128,car,route_9,479.23189679999996
N_7815,car,route_9,480.03979749999996
N_8171,car,route_9,482.17708539999995
N_8196,car,route_9,488.34177
N_8232,truck,route_9,488.4279261
N_8255,car,route_9,491.2940135
N_8277,car,route_9,494.59683559999996
N_8281,car,route_9,495.56619509999996
N_8284,car,route_9,496.6102904
N_8310,car,route_9,498.8649695
N_8321,car,route_9,500.0015577
N_8322,car,route_9,500.44935039999996
N_8325,car,route_9,500.8049991
N_8329,car,route_9,501.0776069
N_8331,car,route_9,501.5292591
N_8335,car,route_9,502.0728726
N_8353,car,route_9,504.0780263
N_8414,truck,route_9,508.20585719999997
N_8424,car,route_9,508.71288519999996
N_8427,truck,route_9,508.9668991
N_8457,car,route_9,510.22657630000003
N_8470,car,route_9,510.72194079999997
N_8481,car,route_9,511.22460579999995
N_8482,car,route_9,511.2246212
N_8495,car,route_10,511.8056302
N_8502,car,route_9,512.1395424
N_8506,car,route_10,512.3057639
N_8510,car,route_9,512.5533666
N_8527,car,route_10,513.22078
N_8537,car,route_9,513.5564555999999
N_8578,car,route_9,514.7298254
N_8595,car,route_9,515.3966537
N_8675,car,route_10,518.3943131
N_8662,car,route_9,519.4672448
N_8713,car,route_10,519.7172518
N_8729,car,route_10,520.3049913
N_8733,car,route_10,520.4759338
N_8737,car,route_10,521.0621054
N_8607,car,route_9,523.9617796
N_8907,car,route_9,526.7394666
N_8942,car,route_9,529.078638
N_9029,car,route_9,529.7593826
N_9036,car,route_10,529.8431755
N_9056,car,route_10,530.4353073
N_9168,car,route_10,533.8138742
N_8769,car,route_9,534.8231369
N_9235,car,route_10,535.426339
N_9063,car,route_10,535.8532258
N_9241,car,route_9,536.0249499
N_9250,car,route_9,536.1130956
N_9259,car,route_10,536.2886308999999
N_9289,car,route_9,537.6650941
N_9300,car,route_9,537.9258464
N_9299,car,route_9,538.0122904
N_9357,car,route_9,539.9624437
N_9367,car,route_9,540.1299167999999
N_9376,car,route_9,540.5477042
N_9399,motorcycle,route_9,541.3039797
N_9409,car,route_10,541.7146673
N_9426,car,route_11,542.2165222
N_9302,car,route_9,543.1369703
N_9353,car,route_9,544.8266006
N_9287,car,route_9,546.7653149
N_9213,truck,route_10,547.5432228999999
N_9485,car,route_9,548.6640198
N_9675,car,route_10,548.9201408
N_9687,motorcycle,route_9,549.5931155
N_9792,motorcycle,route_9,553.4519028
N_9789,car,route_9,555.617559
N_9933,car,route_9,557.2739534
N_9944,motorcycle,route_9,557.4493328
N_9947,truck,route_9,557.6183502
N_9957,motorcycle,route_9,557.6183874999999
N_9974,car,route_10,557.9662224
N_9967,car,route_10,558.1427944
N_9990,car,route_10,558.3150810999999
N_9758,car,route_9,558.5726025
N_10005,car,route_10,558.7443115
N_10092,motorcycle,route_9,560.9893023999999
N_10121,motorcycle,route_9,561.6748499
N_10138,motorcycle,route_9,562.1079371999999
N_10154,truck,route_10,562.5403269
N_10168,truck,route_10,562.805384
N_10226,car,route_9,564.2486549
N_10159,car,route_9,564.6682033999999
N_10254,car,route_9,564.7525119
N_10261,car,route_9,565.0095398999999
N_10113,car,route_9,565.0944551
N_10280,car,route_9,565.7659401999999
N_10351,motorcycle,route_9,568.0252104
N_10464,car,route_9,571.8509653
N_10515,motorcycle,route_9,571.8509885999999
N_10535,motorcycle,route_9,572.3476112
