S_Name,Class,Direction,Time
S_13903,car,route_3,7117.4058301
S_13904,car,route_3,7117.6977539
S_13966,motorcycle,route_3,7127.4381565
S_14060,motorcycle,route_5,7139.1602811
S_14062,motorcycle,route_5,7139.3791877
S_14065,motorcycle,route_5,7139.9617236
S_14075,motorcycle,route_5,7141.6950893
S_14167,motorcycle,route_3,7157.1089968
S_14169,motorcycle,route_3,7157.3262248
S_14176,car,route_3,7158.2728408
S_14227,car,route_3,7168.7176689
S_14232,motorcycle,route_3,7169.370719
S_14231,motorcycle,route_3,7170.4646291
S_14352,motorcycle,route_4,7199.90502
S_14358,motorcycle,route_4,7200.6327303
S_14398,car,route_5,7212.0358614
S_14403,car,route_5,7212.4020814
S_14409,car,route_3,7219.6024852
S_14445,car,route_5,7223.8291907
S_14449,car,route_5,7225.2849675
S_14456,car,route_5,7226.6717281
S_14461,car,route_5,7227.4692738
S_14534,motorcycle,route_3,7251.1849799
S_14580,car,route_4,7262.2828443
S_14590,car,route_4,7262.7209625
S_14641,car,route_3,7268.2051849
S_14643,car,route_4,7268.4231506
S_14694,motorcycle,route_5,7273.178708
S_14700,motorcycle,route_5,7273.6144418
S_14793,motorcycle,route_5,7283.7750055
S_14799,motorcycle,route_5,7284.4322659
S_14803,motorcycle,route_5,7285.0159528
S_14840,car,route_5,7290.6327665
S_14844,car,route_5,7290.9944911
S_14868,motorcycle,route_5,7296.3114436
S_14905,motorcycle,route_5,7316.0632481
S_14956,car,route_3,7328.6201607
S_14960,car,route_5,7329.350042
S_14966,car,route_3,7330.6597282
S_14970,car,route_3,7330.8744672
S_15008,motorcycle,route_3,7335.380493
S_15010,motorcycle,route_3,7335.5987649
S_15036,motorcycle,route_5,7347.8126176
S_15056,car,route_5,7366.4637633
S_15091,car,route_5,7385.9314561
S_15152,car,route_5,7412.5057143
S_15153,car,route_5,7413.1631676
S_15158,car,route_5,7413.3817567999995
S_15160,car,route_5,7413.7447118
S_15168,motorcycle,route_3,7416.1346596
S_15232,car,route_3,7432.3539445999995
S_15282,motorcycle,route_5,7442.7164783
S_15278,car,route_5,7444.3146745
S_15311,car,route_4,7446.5577674999995
S_15330,car,route_3,7453.6590475
S_15337,motorcycle,route_3,7461.8415423
S_15341,motorcycle,route_3,7462.4285846
